ID,Name,Nickname,Height,Weight,Reach,Stance,DOB
2f95a3c6d58b2aad,Iuri Alcantara,MARAJO,69,135,71,Southpaw,1980-08-04
7c6e87729e824ef4,Ildemar Alcantara,MARAJO,74,185,78,Orthodox,1982-11-18
1e38bba6738b7b10,Alfonso Alcarez,\N,63,145,\N,\N,1970-06-10
d26934530dc5b248,Gilbert Aldana,EL PELIGRO,73,250,\N,Orthodox,1977-08-25
578ef12674df1e6a,Irene Aldana,\N,69,135,68,Orthodox,1988-03-26
c487223b0289bda9,Hector Aldana,\N,71,170,72,Orthodox,1988-08-17
7460ddef986d3144,Jose Alday,POCHITO,67,135,68,Orthodox,1991-09-14
d0f3959b4a9747e6,Jose Aldo,\N,67,135,70,Orthodox,1986-09-09
6fd953151d981979,JJ Aldrich,\N,65,125,67,Southpaw,1992-09-29
103e2e33a60683e1,Irina Alekseeva,RUSSIAN RONDA,68,135,67,Orthodox,1990-06-27
d35298b6df168456,Talita Alencar,PROBLEM CHILD,61,115,58,Orthodox,\N
fe5a9547479396ab,Jim Alers,THE BEAST,69,145,71,Orthodox,\N
7a15f3694c5cbc02,John Alessio,THE NATURAL,70,155,72,Orthodox,1979-07-05
0541480fbf719d86,Houston Alexander,THE ASSASSIN,72,205,72,Orthodox,1972-03-22
8fd76e1b49c00ae2,Kenneth Alexander,THE MACHINE,69,155,\N,Orthodox,1977-09-25
11583163f45c7b31,Lucas Alexander,THE LION,71,145,73,Orthodox,1995-07-28
d53482bef23235ba,Marcio Alexandre Junior,LYOTO,72,185,75,Southpaw,1989-05-05
b757c73f443d4fca,Olaf Alfonso,\N,74,170,\N,Orthodox,1974-08-06
4b37a0bc2ab4cae1,Pablo Alfonso,THE HURRICANE,68,145,\N,\N,1983-05-09
41b34b7f11f6d085,Levi Alford,\N,\N,\N,\N,\N,\N
9abc648e76c4493a,Bill Algeo,SENOR PERFECTO,72,145,73,Switch,1989-06-09
669a3cb6e394f515,Royce Alger,\N,70,199,\N,Orthodox,1965-03-06
e17770faae3ca54c,Amir Aliakbari,\N,75,250,\N,\N,1984-06-10
e70de1859b7ee78e,Sultan Aliev,\N,71,170,74,Orthodox,1984-09-17
ca28cdf526d6b6e9,Nurullo Aliev,TAJIK EAGLE,70,155,72,Orthodox,\N
a075a34d7527fadf,Kimbert Alintozon,THE HUNTER,\N,135,\N,\N,1999-01-21
b07aed698fba8624,Ikram Aliskerov,\N,72,185,76,Southpaw,\N
6db394bf6c3b017c,Leon Aliu,THE ALBANIAN LION,72,185,74,Orthodox,1989-07-14
6ebe96a116e79e52,John Allan,\N,73,205,75,Orthodox,1993-02-22
1e13936d708bcff7,George Allen,\N,74,205,\N,Open Stance,1967-01-13
040a74bb0a465c54,Arnold Allen,ALMIGHTY,68,145,70,Southpaw,1994-01-22
2f181c0467965b98,Brendan Allen,ALL IN,74,185,75,Orthodox,\N
adf9a901308fb8e3,Daniel Allen,\N,72,155,75,Southpaw,1992-08-10
c4fe2e9a06ea5bcb,Ben Alloway,BLANCO,71,170,76,Orthodox,1981-02-19
8d3273573b85be09,Asu Almabayev,ZULFIKAR,64,125,65,Orthodox,1994-01-25
a4dc0f2b95df4cc1,Bekzat Almakhan,THE TURAN WARRIOR,67,135,68,Orthodox,\N
088aa1b19b2dc14a,John Dave Almanza,THE STRIKER,67,125,67,Southpaw,2004-03-22
91186547a7f3f758,Ricardo Almeida,BIG DOG,72,170,74,Orthodox,1976-11-29
d615d6a10a4704cd,Magno Almeida,\N,72,155,\N,\N,1985-06-06
2b074403b7c6cdb4,Thomas Almeida,THOMINHAS,67,145,70,Southpaw,1991-07-31
67a992d4cff22466,Ericka Almeida,\N,66,115,\N,Orthodox,1989-03-05
f16ddfa31236efed,Estefani Almeida,\N,64,125,\N,Orthodox,\N
41e83a89929d1327,Jailton Almeida,MALHADINHO,75,225,79,Orthodox,1991-06-26
710f0f8c5d5c9d41,Lucas Almeida,\N,71,145,71,Orthodox,1991-01-31
64d47ef881a437a4,Cesar Almeida,CESINHA,73,185,74,Orthodox,1988-03-28
c6bf75775b278ed8,Mauricio Alonso,\N,74,170,\N,\N,1980-02-27
49b130de1da2e1bf,Sarah Alpar,TOO SWEET,64,135,63,Southpaw,1991-06-01
e87a13e02c01331d,Ali AlQaisi,THE ROYAL FIGHTER,66,135,68,Orthodox,1990-09-23
c61b49cec6abd6b9,Rico Altamirano,\N,70,170,\N,\N,\N
dc7927cd622676a7,Victor Altamirano,EL MAGNIFICO,68,125,70,Switch,1991-01-23
c11036da9162cb5f,Mike Altman,\N,70,185,\N,Orthodox,\N
430c533614d45813,Patricia Alujas,THE ANGEL,64,115,64,Orthodox,1996-05-08
e741536153227386,Sean Alvarez,\N,72,235,\N,Orthodox,1971-07-14
33a331684283900f,Eddie Alvarez,\N,69,155,69,Orthodox,1984-01-11
4438482bd1d5a029,Jaime Alvarez,\N,68,125,69,Orthodox,1988-03-08
58bbef3770bb2dfc,Joel Alvarez,EL FENOMENO,75,170,77,Orthodox,1993-03-02
31ee470ef5dc8d7f,Thiago Alves,PITBULL,69,170,70,Orthodox,\N
bd92cf5da5413d2a,Anthony Alves,\N,\N,\N,\N,\N,\N
dc5a6b2fdb27e7dc,Amilcar Alves,\N,72,170,\N,Southpaw,1988-08-08
d317a5e2b3f88c5f,Warlley Alves,\N,71,185,72,Orthodox,1991-01-04
029afd138865d20a,Rafael Alves,THE TURN,68,155,68,Orthodox,1990-11-14
d156513a19acf856,Sam Alvey,SMILE'N,74,185,75,Southpaw,1986-05-06
f4abf9aeda861283,Christopher Alvidrez,THE NEWBORN,72,170,74,Orthodox,\N
86c1441676af2c73,Mahamed Aly,\N,74,205,78,Orthodox,1994-01-11
20821819c401ced8,Andre Amado,DIDA,72,154,\N,Orthodox,\N
1e327b281ef6a745,Adlan Amagov,BORZ,74,170,76,Orthodox,\N
247fbbfafea60bb1,Maiara Amanajas dos Santos,\N,65,115,\N,Southpaw,1987-07-11
ee0b69e307c857e5,Chris Amarante,\N,\N,185,\N,\N,\N
c912f676692c353a,Jimmy Ambriz,THE TITAN,74,315,\N,Southpaw,1970-01-26
d562b12b8fe88336,JJ Ambrose,\N,70,170,\N,Orthodox,1987-02-06
70fa1c64a2c439ef,Alen Amedovski,\N,70,185,74,Orthodox,1988-04-06
41cc71cbf210e0fe,Hyder Amil,THE HURRICANE,69,145,70,Switch,1990-05-28
6c40705cf6c0d7e2,Hamid Amiri,THE STORM,\N,145,\N,\N,2003-06-15
87a1dc546b1c5caf,Makwan Amirkhani,MR. FINLAND,70,145,72,Southpaw,1988-11-08
bc7d1ad49fcb2d08,Jaqueline Amorim,\N,63,115,68,Orthodox,1995-06-24
f139d6836efd43dd,Yaroslav Amosov,\N,72,170,75,Orthodox,1993-09-09
53adf5b845d91e4a,Bertrand Amoussou,\N,68,190,\N,Orthodox,1966-05-28
23a8c33869bf5392,Karl Amoussou,THE PSYCHO,71,185,\N,Orthodox,1985-11-21
cad24459b28592ca,Eryk Anders,YA BOI,73,185,75,Southpaw,1987-04-21
8738eacd62e82a32,Matt Andersen,\N,74,230,\N,Southpaw,1971-05-29
9199e0735b83dd32,Andy Anderson,THE HAMMER,66,240,\N,\N,1974-07-16
1ffc38f67785797b,Lowell Anderson,\N,66,160,\N,Orthodox,\N
5e4eec08896c9423,Corey Anderson,OVERTIME,75,205,79,Orthodox,1989-09-22
19ba965651486013,Derek Anderson,BARBARIC,72,155,\N,\N,1990-02-02
a0e75f4a13eb73f1,Megan Anderson,\N,72,145,72,Orthodox,1990-02-11
b03a0c78ca45facf,Liam Anderson,\N,75,185,75,Orthodox,1995-01-13
17615148dd4be6f6,Tatsuya Ando,KIRINJI,64,145,68,Southpaw,1990-04-26
1562b12763cc8d67,Alex Andrade,EL TORO,71,200,\N,Orthodox,1974-05-14
6a1901c62ab3870f,Jessica Andrade,BATE ESTACA,61,115,62,Orthodox,1991-09-25
d221ee27afc7a60e,Viscardi Andrade,\N,71,170,75,Orthodox,1984-03-08
9bad58fa651d6196,Jermaine Andre,\N,67,200,\N,Orthodox,1973-07-16
7977fb0fd9c5955d,Fellipe Andrew,\N,\N,\N,\N,\N,\N
00debc804e2b1cd4,Dylan Andrews,THE VILLAIN,73,185,74,Switch,1979-11-15
46e2ca71fd5089cb,Reese Andy,RIPTIDE,72,205,\N,Orthodox,1973-03-31
d6a3e131ad4ba064,Angga,THE HITMAN,67,145,68,Orthodox,1989-01-13
e20ad078a7d63361,Julius Anglickas,\N,75,205,\N,Orthodox,1991-07-23
047a91d3d9c79b05,Collin Anglin,\N,69,145,71,Orthodox,1993-02-20
c7c39e2fb70248b3,Chad Anheliger,THE MONSTER,66,135,64,Orthodox,\N
e06fd1260ac865a7,Yoji Anjo,MR. 200%,71,205,\N,Orthodox,1967-03-28
d802174b0c0c1f4e,Magomed Ankalaev,\N,75,205,75,Orthodox,1992-06-02
af997f7611673880,Gadzhimurad Antigulov,\N,71,205,70,Orthodox,1987-02-09
25b31165758402dd,Adam Antolin,CAPTAIN CHAOS,65,125,63,Orthodox,1982-02-28
dbd198f780286aca,Angelo Antonio,\N,\N,205,\N,Orthodox,\N
cc49ada1ea955b13,Vanilto Antunes,\N,72,170,72,Orthodox,\N
78d48d3874dacafd,Azunna Anyanwu,ZULU,73,251,\N,Orthodox,1981-08-05
4665f9f909cd7214,Shinsho Anzai,ANIMAL,67,170,70,Orthodox,\N
031da10a00c8ccd4,Jin Aoi,\N,66,145,68,Orthodox,1997-01-21
79ded75550efc139,Shinya Aoki,TOBIKAN JUDAN,71,154,\N,Southpaw,1983-05-09
7d420039bbfe7c1a,Aoriqileng,THE MONGOLIAN MURDERER,67,135,69,Orthodox,1993-06-25
0c1a04afca64e38f,Josh Appelt,\N,70,255,\N,Southpaw,1983-06-19
1ccff7f0cfdf85eb,Erik Apple,\N,72,170,\N,Orthodox,1977-08-26
269d103c96a4c3a5,Kenji Arai,\N,70,145,\N,Southpaw,\N
73ef22f25d0f70e2,Romie Aram,\N,70,170,\N,Orthodox,\N
71002dbc1743b9a7,Felipe Arantes,SERTANEJO,68,135,73,Orthodox,1988-02-09
dbea8c1cb327ab3d,Igor Araujo,\N,73,170,77,Orthodox,\N
36541f1e6c5d4955,Viviane Araujo,VIVI,64,125,68,Orthodox,1986-11-21
1291edf2d566a71a,Julio Arce,\N,67,145,70,Southpaw,\N
d25e39e74efb0a77,Art Arciniega,KING ARTHUR,68,145,\N,\N,\N
87f8699fdcc2c404,Alice Ardelean,\N,63,115,62,Orthodox,1992-04-19
9c9455912d917e4e,Tristan Arenal,\N,\N,155,\N,\N,1985-03-06
db3c4a884d704efe,Gabriel Arges,\N,\N,170,\N,\N,1993-01-29
e4ba58725825412d,Dan Argueta,THE DETERMINED,67,135,68,Southpaw,1993-08-13
90063913321e7670,Reza Arianto,THE CRAZY LION,\N,155,\N,\N,\N
e0e1801e8721af17,Ryoga Arimoto,\N,\N,125,\N,\N,\N
9a7ffa80766caa51,Hashem Arkhagha,\N,74,185,75,Orthodox,1989-09-11
3738e68d2261e60f,Andrei Arlovski,THE PITBULL,75,240,77,Orthodox,1979-02-04
1effd880e1f1bb30,Garrett Armfield,\N,66,135,70,Orthodox,\N
30ad2050273d016a,Joey Armstrong,\N,\N,\N,\N,\N,\N
bf0e700106d00e55,Austin Arnett,\N,72,145,72,Orthodox,\N
05fbfe628658c538,Ricardo Arona,THE BRAZILIAN TIGER,71,205,\N,Orthodox,1978-07-17
a90c200c3fbb22c4,Eli Aronov,THE ISRAELI TANK,70,185,72,Orthodox,1996-06-06
770b9d4813c25902,Chalid Arrab,DIE FAUST,71,205,\N,Orthodox,1975-05-28
c136b2a8852da5bd,Akbarh Arreola,EL CABALLERO,70,155,71,Southpaw,1983-01-14
de62052b2ede65ba,Matt Arroyo,NO REGARD,70,170,72,Orthodox,1982-09-01
61fb8098ccf81c7f,Antonio Arroyo,\N,75,185,73,Orthodox,1989-07-01
2dea80c069847321,Gilles Arsene,\N,69,190,\N,Southpaw,\N
91e3388e69060e69,Veta Arteaga,\N,67,125,\N,\N,\N
49f78022126bf4a4,Cesar Arzamendia,GOKU,71,155,\N,Orthodox,1991-01-31
d33da8a3d82bdb62,Kai Asakura,\N,68,135,69,Orthodox,\N
a373085066dbfb54,Teddy Ash,BEAR,73,185,73,Switch,\N
d26a0988c9dc9886,Arman Ashimov,MUSTAFA OZTURIK,66,125,\N,\N,1992-01-14
c739c2995a275314,Yanal Ashmouz,RED FOX,69,155,69,Orthodox,1995-03-31
8be9deb7d6b36354,Asjabharan,\N,66,135,\N,\N,1992-07-31
2abc414136504554,Askar Askar,AK-47,67,145,69,Orthodox,1994-08-19
b1d19449397541dc,Askar Askarov,BULLET,66,125,67,Orthodox,\N
9be6020024133293,Cyril Asker,SILVERBACK,72,247,74,Orthodox,\N
5c10da56d712ac9c,Khusein Askhabov,NOHCHO,68,145,69,Orthodox,1995-02-13
06827d70c53ff0d9,Scott Askham,\N,75,185,75,Southpaw,1988-05-20
0b31f87be71ebbb1,Ben Askren,FUNKY,71,170,73,Orthodox,1984-07-18
6e8f1bcdda94ff45,Ibo Aslan,THE LAST OTTOMAN,75,205,77,Orthodox,1996-04-23
399afbabc02376b5,Tom Aspinall,\N,77,255,78,Orthodox,1993-04-11
e56cee1ad697db04,Steven Asplund,CONCRETE,77,260,78,Orthodox,1998-07-16
ff222167cce02919,Bruno Assis,BRUNAO,74,185,\N,Orthodox,1992-05-23
d0d7160824278840,Junior Assuncao,\N,69,145,72,Orthodox,1981-06-24
2f13e4020cea5b38,Raphael Assuncao,\N,65,135,66,Orthodox,1982-07-19
01c9e4013afce141,Michael Aswell Jr.,THE TEXAS KID,68,145,69,Orthodox,2000-09-27
fd7acf42bd6e7e95,Bazigit Atajev,VOLK,73,230,\N,Orthodox,1979-03-12
210935fd21670f6d,Rich Attonito,THE RAGING BULL,70,170,72,Orthodox,1977-06-16
55ee431411ccf07a,Olivier Aubin-Mercier,THE CANADIAN GANGSTER,69,155,70,Southpaw,1989-02-23
196ed28337adc630,Pat Audinwood,AWESOMELY AWESOME,72,155,\N,Orthodox,1986-04-16
4d3b08ab127c7585,Jose Augusto,GUGU,75,251,\N,\N,1992-03-28
04643fd03d9159cc,Marcus Aurelio,MAXIMUS,70,155,74,Orthodox,1973-08-18
956dcac65e7b34d6,David Avellan,\N,69,185,\N,Orthodox,1981-07-07
8753e125f4499816,Blas Avena,THE DISCIPLE,72,170,74,Orthodox,1983-06-30
ba5c6eeb8ef45f5c,Levi Avera,\N,73,170,\N,\N,1982-05-17
033d19259f589457,Anthony Avila,\N,67,145,\N,\N,\N
4665cbf36b08193b,Chris Avila,\N,70,145,\N,Orthodox,1993-01-16
86d9dbe1bfcbade7,Julia Avila,RAGING PANDA,67,135,68,Orthodox,1988-05-11
da603332ad41f165,Saad Awad,ASSASSIN,71,155,\N,\N,1983-06-07
26387c19f32dda0f,Javy Ayala,EYE CANDY,73,265,\N,\N,1988-08-20
6eaec40f724852f4,Jessin Ayari,\N,72,155,73,Orthodox,1992-05-31
46d0a888d87d91ac,Abu Azaitar,CAPTAIN MOROCCO,69,185,76,Orthodox,1986-03-10
ee18ff42063174df,Ottman Azaitar,BULLDOZER,68,155,71,Switch,1990-02-20
063649e21bc9d6d5,Luiz Azeredo,\N,69,154,\N,Orthodox,1976-06-10
9bcfb40dbcd50568,Luciano Azevedo,\N,75,161,\N,Orthodox,1981-06-25
2af2f2e26c4c0402,Hunter Azure,\N,68,145,69,Orthodox,1992-03-02
39cc64bf0a269db9,Niklas Backstrom,\N,73,145,\N,Orthodox,1989-08-22
fd5b6598a3b70c0a,Seth Baczynski,THE POLISH PISTOLA,75,170,75,Orthodox,\N
968764372c49eab6,Abdul Azeem Badakhshi,THE AFGHAN LION,\N,145,\N,\N,\N
c0ab242c40decc55,Ryan Bader,DARTH,74,205,74,Orthodox,1983-06-07
4fcf6e0c4e0e6664,Izabela Badurek,\N,65,115,\N,Orthodox,1991-07-11
82d4c957649faf9b,Miguel Baeza,CARAMEL THUNDER,74,170,74,Orthodox,1992-08-23
3dd92ff9fb0412b3,Ali Bagautinov,PUNCHER,64,125,65,Orthodox,1985-06-10
e4d2564ea0e34e2b,Mehdi Baghdad,THE SULTAN,73,155,\N,Orthodox,1985-04-13
a52bc1e62cf0b7c6,Melsik Baghdasaryan,THE GUN,69,145,70,Southpaw,1992-01-28
aec185309b4843d0,Siyar Bahadurzada,THE GREAT,71,170,73,Orthodox,1984-04-17
e4a47b07044ddd72,Ignacio Bahamondes,LA JAULA,75,155,75,Orthodox,1997-08-27
8f313e9c3a39c06e,Bahatebole Batebolati,LION KING,68,170,71,Southpaw,1997-09-12
e2b8186b618b00c4,Shamar Bailey,\N,69,155,75,Southpaw,1982-09-22
